fecha,segmento,subsegmento,cliente,fantasia,porcentaje_total,supervisor,promotor,ruta,grupos,origen
2026-08-10,VALUE,LATA,100239,NORTE,0.18,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100260,JUAN,0.18,,VI 606 LUJU 11,6061 - VI 606 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100260,JUAN,0.18,,VI 606 LUJU 11,6061 - VI 606 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100276,MYOPORUM II,0.1,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100276,MYOPORUM II,0.18,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100290,VICKY,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100290,VICKY,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100292,OCEANO,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100292,OCEANO,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100294,EL PORVENIR,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
